method,model_seed,metric,factor,elasticity_log2,multiplier_per_doubling,r_squared,max_abs_log2_residual,model
fixedpred,70,device_time,batch_size,-0.00162071658802,0.998877235639,0.999712590029,0.0335851656428,log2_main_effects_without_interactions
fixedpred,71,device_time,batch_size,-0.00221996180522,0.998462423018,0.999685493804,0.032576911204,log2_main_effects_without_interactions
fixedpred,72,device_time,batch_size,0.00449864513736,1.00312308991,0.9995986317,0.0400007231018,log2_main_effects_without_interactions
fixedpred,70,device_time,depth,0.956940539733,1.94118893234,0.999712590029,0.0335851656428,log2_main_effects_without_interactions
fixedpred,71,device_time,depth,0.957188983955,1.94152325019,0.999685493804,0.032576911204,log2_main_effects_without_interactions
fixedpred,72,device_time,depth,0.952421013318,1.93511729088,0.9995986317,0.0400007231018,log2_main_effects_without_interactions
fixedpred,70,device_time,width,0.00135444972312,1.00093927385,0.999712590029,0.0335851656428,log2_main_effects_without_interactions
fixedpred,71,device_time,width,-0.00247184091258,0.998288117386,0.999685493804,0.032576911204,log2_main_effects_without_interactions
fixedpred,72,device_time,width,-0.00658041259478,0.995449192013,0.9995986317,0.0400007231018,log2_main_effects_without_interactions
fixedpred,70,host_time,batch_size,-0.00140772975561,0.999024711992,0.999736604086,0.0332549807537,log2_main_effects_without_interactions
fixedpred,71,host_time,batch_size,-0.00226730616111,0.998429657407,0.99970116075,0.032257603038,log2_main_effects_without_interactions
fixedpred,72,host_time,batch_size,0.00467220735616,1.00324377705,0.999620401677,0.0399296373964,log2_main_effects_without_interactions
fixedpred,70,host_time,depth,0.958017489712,1.94263854144,0.999736604086,0.0332549807537,log2_main_effects_without_interactions
fixedpred,71,host_time,depth,0.95820305419,1.94288842647,0.99970116075,0.032257603038,log2_main_effects_without_interactions
fixedpred,72,host_time,depth,0.953309806527,1.93630981526,0.999620401677,0.0399296373964,log2_main_effects_without_interactions
fixedpred,70,host_time,width,0.00114754836564,1.00079573634,0.999736604086,0.0332549807537,log2_main_effects_without_interactions
fixedpred,71,host_time,width,-0.0024732737596,0.998287125913,0.99970116075,0.032257603038,log2_main_effects_without_interactions
fixedpred,72,host_time,width,-0.0065026442127,0.995502853083,0.999620401677,0.0399296373964,log2_main_effects_without_interactions
fixedpred,70,peak_allocated,batch_size,0.307092021328,1.23721139086,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,71,peak_allocated,batch_size,0.307092021328,1.23721139086,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,72,peak_allocated,batch_size,0.307092021328,1.23721139086,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,70,peak_allocated,depth,0.626509048277,1.54382481042,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,71,peak_allocated,depth,0.626509048277,1.54382481042,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,72,peak_allocated,depth,0.626509048277,1.54382481042,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,70,peak_allocated,width,1.06864988688,2.09746957962,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,71,peak_allocated,width,1.06864988688,2.09746957962,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,72,peak_allocated,width,1.06864988688,2.09746957962,0.960022788645,0.463181495843,log2_main_effects_without_interactions
fixedpred,70,peak_reserved,batch_size,0.335988795715,1.26224222923,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,71,peak_reserved,batch_size,0.335988795715,1.26224222923,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,72,peak_reserved,batch_size,0.335988795715,1.26224222923,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,70,peak_reserved,depth,0.610562099686,1.52685398259,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,71,peak_reserved,depth,0.610562099686,1.52685398259,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,72,peak_reserved,depth,0.610562099686,1.52685398259,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,70,peak_reserved,width,1.09288714498,2.13300470054,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,71,peak_reserved,width,1.09288714498,2.13300470054,0.964256613001,0.459450343816,log2_main_effects_without_interactions
fixedpred,72,peak_reserved,width,1.09288714498,2.13300470054,0.964256613001,0.459450343816,log2_main_effects_without_interactions
strict,70,device_time,batch_size,0.0183744451026,1.01281764557,0.999120395057,0.07988472678,log2_main_effects_without_interactions
strict,71,device_time,batch_size,0.00155673067375,1.00107962585,0.998670954428,0.0705334340845,log2_main_effects_without_interactions
strict,72,device_time,batch_size,-0.0205461068367,0.985859454095,0.999201290777,0.0768725494484,log2_main_effects_without_interactions
strict,70,device_time,depth,1.07122605585,2.10121830207,0.999120395057,0.07988472678,log2_main_effects_without_interactions
strict,71,device_time,depth,1.05607883661,2.07927248987,0.998670954428,0.0705334340845,log2_main_effects_without_interactions
strict,72,device_time,depth,1.06279709632,2.08897770682,0.999201290777,0.0768725494484,log2_main_effects_without_interactions
strict,70,device_time,width,0.0168099644914,1.01171992589,0.999120395057,0.07988472678,log2_main_effects_without_interactions
strict,71,device_time,width,-0.011505944925,0.992056405149,0.998670954428,0.0705334340845,log2_main_effects_without_interactions
strict,72,device_time,width,9.53108442029e-05,1.00006606663,0.999201290777,0.0768725494484,log2_main_effects_without_interactions
strict,70,host_time,batch_size,0.0182897956292,1.0127582207,0.999118354642,0.0801701387863,log2_main_effects_without_interactions
strict,71,host_time,batch_size,0.00148116450525,1.0010271922,0.998657742737,0.0710395254827,log2_main_effects_without_interactions
strict,72,host_time,batch_size,-0.0205010953431,0.985890212985,0.99919714059,0.0771284688982,log2_main_effects_without_interactions
strict,70,host_time,depth,1.07139647422,2.10146652317,0.999118354642,0.0801701387863,log2_main_effects_without_interactions
strict,71,host_time,depth,1.05640445689,2.07974184042,0.998657742737,0.0710395254827,log2_main_effects_without_interactions
strict,72,host_time,depth,1.06301400328,2.08929180499,0.99919714059,0.0771284688982,log2_main_effects_without_interactions
strict,70,host_time,width,0.01678354296,1.01170139741,0.999118354642,0.0801701387863,log2_main_effects_without_interactions
strict,71,host_time,width,-0.0115663054421,0.992014899645,0.998657742737,0.0710395254827,log2_main_effects_without_interactions
strict,72,host_time,width,7.91146073204e-05,1.00005483957,0.99919714059,0.0771284688982,log2_main_effects_without_interactions
strict,70,peak_allocated,batch_size,0.483975212152,1.39859205245,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,71,peak_allocated,batch_size,0.483975212152,1.39859205245,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,72,peak_allocated,batch_size,0.483975212152,1.39859205245,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,70,peak_allocated,depth,0.468698522947,1.38386050332,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,71,peak_allocated,depth,0.468698522947,1.38386050332,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,72,peak_allocated,depth,0.468698522947,1.38386050332,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,70,peak_allocated,width,1.05923669815,2.08382871678,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,71,peak_allocated,width,1.05923669815,2.08382871678,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,72,peak_allocated,width,1.05923669815,2.08382871678,0.969783378126,0.514662094708,log2_main_effects_without_interactions
strict,70,peak_reserved,batch_size,0.500547978278,1.41475082457,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,71,peak_reserved,batch_size,0.500547978278,1.41475082457,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,72,peak_reserved,batch_size,0.500547978278,1.41475082457,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,70,peak_reserved,depth,0.458749216306,1.37434977157,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,71,peak_reserved,depth,0.458749216306,1.37434977157,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,72,peak_reserved,depth,0.458749216306,1.37434977157,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,70,peak_reserved,width,1.07463459572,2.10618855113,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,71,peak_reserved,width,1.07463459572,2.10618855113,0.971669839423,0.512286143367,log2_main_effects_without_interactions
strict,72,peak_reserved,width,1.07463459572,2.10618855113,0.971669839423,0.512286143367,log2_main_effects_without_interactions
